Rep,Salinity,Concentration,Concentration.1,Particles
1,15,0,0.01,0
2,15,0,0.01,0
3,15,0,0.01,0
1,20,0,0.01,0
2,20,0,0.01,0
3,20,0,0.01,0
1,25,0,0.01,0
2,25,0,0.01,0
3,25,0,0.01,0
1,15,60,60.01,0
2,15,60,60.01,0
1,20,60,60.01,0
2,20,60,60.01,0
3,20,60,60.01,0
1,25,60,60.01,0
2,25,60,60.01,0
3,25,60,60.01,0
1,15,6000,6000.01,1
3,15,6000,6000.01,0
1,20,6000,6000.01,1
2,20,6000,6000.01,1
3,20,6000,6000.01,3
1,25,6000,6000.01,0
2,25,6000,6000.01,0
3,25,6000,6000.01,1
1,15,60000,60000.01,9
3,15,60000,60000.01,4
1,20,60000,60000.01,2
3,20,60000,60000.01,3
1,25,60000,60000.01,3
2,25,60000,60000.01,0
